Title,Authors,Read Status,Dates Read,Moods,Star Rating,Review
Cleopatra and Frankenstein,Coco Mellors,read,2023/04/09-2023/04/26,"dark, sad",3.75,
Antarctica,Claire Keegan,to-read,,,,
Instead: Navigating the Adventures of a Childfree Life,Maria Coffey,to-read,,,,
Rock Paper Scissors,Alice Feeney,to-read,,,,
"Georgie, All Along",Kate Clayborn,to-read,,,,
The Reading List,Sara Nisha Adams,read,2023/03/24-2023/04/09,"emotional, funny, reflective, sad",3.5,
Room,Emma Donoghue,to-read,,,,
Big Swiss,Jen Beagin,read,2024/04/02-2024/04/15,,3.5,
Mad Honey,"Jennifer Finney Boylan, Jodi Picoult",to-read,,,,
Rememberings,Sinéad O'Connor,read,2023/12/13-2023/12/20,"challenging, emotional, funny, sad",4.0,
The Love Hypothesis,Ali Hazelwood,to-read,,,,
The Woman in Me,Britney Spears,read,2024/02/06-2024/02/16,,,
Starter Villain,John Scalzi,to-read,,,,
King of Wrath,Ana Huang,read,2023/11/26-2023/12/03,,3.0,
"Girl, Woman, Other",Bernardine Evaristo,read,2023/04/05-2023/04/17,"emotional, hopeful, reflective",3.75,
Last Night at the Telegraph Club,Malinda Lo,to-read,,,,
"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,to-read,,,,
Lady Tan's Circle of Women,Lisa See,to-read,,,,
Three Women,Lisa Taddeo,to-read,,,,
The Covenant of Water,Abraham Verghese,to-read,,,,
Everything I Know About Love: A Memoir,Dolly Alderton,read,2024/04/26-2024/06/08,"emotional, funny, hopeful, inspiring, lighthearted, reflective",5.0,
Monsters: A Fan's Dilemma,Claire Dederer,to-read,,,,
Circe,Madeline Miller,to-read,,,,
Happy Place,Emily Henry,read,2023/12/25-2023/12/30,"emotional, hopeful",3.75,
The Club,Ellery Lloyd,read,,,3.0,
The Man Who Died Twice,Richard Osman,read,2023/10/20-2023/11/09,,4.0,
Local Woman Missing,Mary Kubica,to-read,,,,
Their Brilliant Careers: The Fantastic Lives of Sixteen Extraordinary Australian Writers,Ryan O'Neill,to-read,,,,
The Night Circus,Erin Morgenstern,to-read,,,,
Everyone in This Room Will Someday Be Dead,Emily Austin,to-read,,,,
A Court of Frost and Starlight,Sarah J. Maas,read,2023/08/14-2023/08/19,,2.0,
The Cuckoo's Calling,Robert Galbraith,read,2023/10/28-2023/11/15,,4.0,
The Thursday Murder Club,Richard Osman,read,2023/02/03-2023/02/08,"funny, lighthearted, mysterious",3.5,<div>It's a good book if you don't want something deep and complex to read. I'm missing more of a back story on the characters. Did Elizabeth and Stephen have kids? Did Joyce love being a mum? Some throwbacks would be nice. Joyce was still a mystery to me. Overall a fun read!&nbsp;</div>
Things We Never Got Over,Lucy Score,to-read,,,,
Remarkably Bright Creatures,Shelby Van Pelt,read,2023/11/16-2023/11/26,,2.75,
Odd Girl Out: An Autistic Woman in a Neurotypical World,Laura James,read,2024/01/16-2024/01/21,,4.0,
Daisy Jones & The Six,Taylor Jenkins Reid,read,2023/02/09-2023/02/23,"challenging, dark, emotional, reflective, sad",3.75,
Magnolia Parks,Jessa Hastings,to-read,,,,
"Thunder Dog: The True Story of a Blind Man, His Guide Dog, and the Triumph of Trust at Ground Zero",Michael Hingson,to-read,,,,
Hollow Kingdom,Kira Jane Buxton,to-read,,,,
The Secret History,Donna Tartt,read,2023/07/05-2023/10/05,"dark, mysterious, reflective",4.0,
The Book Thief,Markus Zusak,read,2024/02/26-2024/03/12,,5.0,
Beartown,Fredrik Backman,read,,,,
The Awakening,"Susanne Valenti, Caroline Peckham",to-read,,,,
Emma,Jane Austen,read,,,2.5,
You Are Here (for Now): A Guide to Finding Your Way,Adam J. Kurtz,to-read,,,,
Dark Matter,Blake Crouch,to-read,,,,
Babel: An Arcane History,R.F. Kuang,read,2024/05/10-2024/05/31,"dark, emotional, informative",3.5,
A Court of Thorns and Roses,Sarah J. Maas,read,2023/06/01-2023/06/20,"adventurous, challenging, tense",4.75,
Everyone Here Is Lying,Shari Lapena,read,2024/02/01-2024/02/06,"dark, mysterious, tense",2.5,
